N�mero;Fuero;Nombre;Tipo de ente;Direcci�n;Localidad;Departamento judicial;Tel�fono;Latitud;Longitud
7;PENAL;ASESORIA DE INCAPACES 1;ASESORIA DE INCAPACES;AVENIDA PRESIDENTE PERON 525;AZUL;AZUL;424933;-36.7817692;-59.86559762
26;PENAL;ASESORIA DE INCAPACES 2;ASESORIA DE INCAPACES;AVENIDA PRESIDENTE PERON 525;AZUL;AZUL;424933;-36.7817692;-59.86559762
137;PENAL;AYUDANTIA FISCAL DE ABIGEATOS;AYUDANTIA FISCAL;COLON 931;AZUL;AZUL;435515;-36.7812957;-59.86889912
165;CIVIL Y COMERCIAL;CAMARA DE APELACION EN LO CIVIL Y COMERCIAL SALA 1;CAMARA;AVENIDA PRESIDENTE PERON 525;AZUL;AZUL;425917 int: 32290;-36.7817692;-59.86559762
173;CIVIL Y COMERCIAL;CAMARA DE APELACION EN LO CIVIL Y COMERCIAL SALA 2;CAMARA;AVENIDA PRESIDENTE PERON 525;AZUL;AZUL;425917 int: 37328;-36.7817692;-59.86559762
188;PENAL;CAMARA DE APELACION Y GARANTIAS EN LO PENAL;CAMARA;AVENIDA PRESIDENTE PERON 525;AZUL;AZUL;433263 int: 37-410;-36.7817692;-59.86559762
283;CIVIL Y COMERCIAL;CURADURIA OFICIAL - AZUL;CURADURIA OFICIAL;BELGRANO 853;AZUL;AZUL;435090;-36.7821059;-59.85530619
305;PENAL;DEFENSORIA GENERAL;DEFENSORIA;URIBURU 838;AZUL;AZUL;423106 int: 411 / 412 / 413 y 415;-36.761701;-59.842254
354;PENAL;FISCALIA GENERAL;FISCALIA;COLON 931;AZUL;AZUL;435515;-36.7812957;-59.86889912
389;PENAL;JUZGADO DE EJECUCION 1;JUZGADO;AVENIDA 25 DE MAYO Y BOLIVAR;AZUL;AZUL;432956;-36.7807692;-59.86188982
414;FAMILIA;JUZGADO DE FAMILIA 1;JUZGADO;SAN MARTIN 537;AZUL;AZUL;432551;-36.7790709;-59.86235922
503;PENAL;JUZGADO DE GARANTIAS 1;JUZGADO;AVENIDA PRESIDENTE PERON 525;AZUL;AZUL;425915 int: 37285;-36.7817692;-59.86559762
524;PENAL;JUZGADO DE GARANTIAS 2;JUZGADO;AVENIDA PRESIDENTE PERON 525;AZUL;AZUL;422978 int: 276;-36.7817692;-59.86559762
542;PENAL;JUZGADO DE GARANTIAS 3;JUZGADO;AVENIDA PRESIDENTE PERON 525;AZUL;AZUL;422796 int: 372-373;-36.7817692;-59.86559762
583;PENAL;JUZGADO DE GARANTIAS DEL JOVEN 1;JUZGADO;AVENIDA PRESIDENTE PERON 525;AZUL;AZUL;433927;-36.7817692;-59.86559762
616;PENAL;JUZGADO DE LA RESPONSABILIDAD PENAL JUVENIL 1;JUZGADO;AVENIDA PRESIDENTE PERON 525;AZUL;AZUL;425917 int: 37321;-36.7817692;-59.86559762
741;CIVIL Y COMERCIAL;JUZGADO DE PRIMERA INSTANCIA EN LO CIVIL Y COMERCIAL 1;JUZGADO;AVENIDA PRESIDENTE PERON 525;AZUL;AZUL;425917 int: 37258;-36.7817692;-59.86559762
772;CIVIL Y COMERCIAL;JUZGADO DE PRIMERA INSTANCIA EN LO CIVIL Y COMERCIAL 2;JUZGADO;AVENIDA PRESIDENTE PERON 525;AZUL;AZUL;425917 int: 37226;-36.7817692;-59.86559762
789;CIVIL Y COMERCIAL;JUZGADO DE PRIMERA INSTANCIA EN LO CIVIL Y COMERCIAL 3;JUZGADO;AVENIDA PRESIDENTE PERON 525;AZUL;AZUL;425917 int: 37259;-36.7817692;-59.86559762
802;CIVIL Y COMERCIAL;JUZGADO DE PRIMERA INSTANCIA EN LO CIVIL Y COMERCIAL 4;JUZGADO;AVENIDA PRESIDENTE PERON 525;AZUL;AZUL;426998;-36.7817692;-59.86559762
846;CONTENCIOSO ADMINISTRATIVO;JUZGADO DE PRIMERA INSTANCIA EN LO CONTENCIOSO ADMINISTRATIVO 1;JUZGADO;AVENIDA PRESIDENTE PERON 446;AZUL;AZUL;435517 int: 399-492;-36.7807132;-59.86695342
949;PENAL;JUZGADO EN LO CORRECCIONAL 1;JUZGADO;AVENIDA PRESIDENTE PERON 525;AZUL;AZUL;422679;-36.7817692;-59.86559762
966;PENAL;JUZGADO EN LO CORRECCIONAL 2;JUZGADO;AVENIDA PRESIDENTE PERON 525;AZUL;AZUL;428282;-36.7817692;-59.86559762
1029;PENAL;OFICINA DE RESOLUCION ALTERNATIVA DE CONFLICTOS - ATENCION A LA VICTIMA;OFICINA DE RESOLUCION ALTERNATIVA DE CONFLICTOS;BELGRANO 463;AZUL;AZUL;435629;-36.7770439;-59.86182852
1073;LABORAL;TRIBUNAL DEL TRABAJO;TRIBUNAL;SAN MARTIN 371;AZUL;AZUL;424255;-36.7770506;-59.86490682
1111;PENAL;TRIBUNAL EN LO CRIMINAL 1;TRIBUNAL;AVENIDA PRESIDENTE PERON 525;AZUL;AZUL;422447 int: 37329;-36.7817692;-59.86559762
1126;PENAL;TRIBUNAL EN LO CRIMINAL 2;TRIBUNAL;AVENIDA PRESIDENTE PERON 525;AZUL;AZUL;424286 int: 327;-36.7817692;-59.86559762
1263;PENAL;UNIDAD FISCAL DE INVESTIGACION Y JUICIO 1;FISCALIA;AVENIDA PRESIDENTE PERON 525;AZUL;AZUL;424933;-36.7817692;-59.86559762
1311;PENAL;UNIDAD FISCAL DE INVESTIGACION Y JUICIO 13 - ABIGEATOS;FISCALIA;AVENIDA PRESIDENTE PERON 525;AZUL;AZUL;435514 int: 355;-36.7817692;-59.86559762
1325;PENAL;UNIDAD FISCAL DE INVESTIGACION Y JUICIO 17 - RESPONSABILIDAD JUVENIL;FISCALIA;COLON 886;AZUL;AZUL;433126;-36.7805452;-59.8681632
